epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.454,1.40368,2.9195,1.67253,0.39917,0.44765,0.394,0.25394,1.58475,2.52593,1.82659,0.000471963,0.000471963,0.000471963
2,426.678,1.37572,2.39668,1.64034,0.54509,0.50679,0.46091,0.32086,1.57609,2.46032,1.80146,0.000760534,0.000760534,0.000760534
3,638.362,1.38451,2.27145,1.63798,0.47182,0.51261,0.47249,0.30462,1.61067,2.80182,1.97562,0.000860477,0.000860477,0.000860477
4,849.024,1.37666,2.18283,1.63748,0.48818,0.55977,0.5207,0.34683,1.49289,2.38969,1.74125,0.000580174,0.000580174,0.000580174
5,1060.97,1.26998,2.01745,1.55809,0.57936,0.59615,0.56563,0.40882,1.47779,2.1743,1.76112,0.000297232,0.000297232,0.000297232
