시나리오,기준일,DAT,습도(%),기온(°C),수온(°C),EC,현재 예측(g/일),다음 제어(g/일),장기 목표(g/일),증가(g)
기본_마지막날,03-22,30.0,46.45,18.85,17.94,2.205,3.994,4.093,4.201,0.207
생장최고전날,03-10,18.0,41.55,18.26,18.04,2.179,8.054,8.352,8.42,0.365
생장급락전날,03-19,27.0,45.08,18.35,18.15,2.174,2.018,2.845,2.993,0.975
가상_습도낮음,03-22,30.0,30.0,18.85,19.0,2.205,4.112,4.147,4.201,0.089
가상_수온높음,03-22,30.0,46.45,18.85,20.5,2.4,4.026,4.051,4.201,0.175
