feature_set,model,n_features,best_params,MAE_g,RMSE_g,R2,MAPE_pct,within_1g_pct,within_2g_pct,n_samples
env_only,Ridge,8,{'model__alpha': 21.544346900318846},1.639018952411597,2.5324627190493145,0.2517300361651872,41.372188614759494,46.15384615384615,73.07692307692307,26
env+canopy,Ridge,14,{'model__alpha': 1000.0},3.4436583318428338,7.519016786391065,-5.596207362995769,144.6263900164978,26.923076923076923,50.0,26
env_only,RandomForest,8,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",1.5160680905217763,2.695465732297435,0.15230461044862686,40.78781813926503,57.692307692307686,73.07692307692307,26
env+canopy,RandomForest,14,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",1.3912436836519362,2.459880556128864,0.2940072673661136,39.45450157415248,53.84615384615385,84.61538461538461,26
env_only,GradientBoosting,8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 50}",1.6578973266145962,2.801600525817161,0.08423379672535225,47.47454240188143,46.15384615384615,73.07692307692307,26
env+canopy,GradientBoosting,14,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 50}",1.2194358831833676,1.9746685366349168,0.5450532111815332,25.445124939059948,53.84615384615385,84.61538461538461,26
