model,best_params,MAE_g,RMSE_g,R2,MAPE_pct,within_1g_pct,within_2g_pct,n_samples
RandomForest (CV tuned),"{'model__max_depth': 4, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",1.5402399516178833,2.652601575954263,0.14835015679084318,39.88441500044565,48.148148148148145,81.48148148148148,27
Ridge + lag1 생장량 (CV tuned),{'model__alpha': 14.38449888287663},1.5846620245200345,2.532446817944784,0.25173943277463606,37.35788143418869,53.84615384615385,65.38461538461539,26
GradientBoosting (CV tuned),"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 50}",1.5970743524042623,2.7798919350954994,0.0646527982093632,46.48620786613119,51.85185185185185,77.77777777777779,27
ElasticNet (CV tuned),"{'model__alpha': 0.517947467923121, 'model__l1_ratio': 0.2}",1.6210299431050246,2.5327575527862516,0.22356650498284825,39.391120782432026,40.74074074074074,74.07407407407408,27
Ridge (CV tuned),{'model__alpha': 12.689610031679234},1.6537411004365563,2.545185214329066,0.21592824840119718,39.53681794036726,44.44444444444444,74.07407407407408,27
Ridge (alpha=10.0),{'alpha': 10.0},1.6702507827900561,2.569000976321964,0.20118619293605255,39.57027572927511,48.148148148148145,74.07407407407408,27
Baseline (평균 예측),{},2.1612101813747904,2.8743621667252603,0.0,67.99827557107976,29.629629629629626,51.85185185185185,27
"SARIMAX(1,0,0)+환경3종 (LOO)","{'exog': ['prev_AirHum_pct_min', 'prev_WaterTemp_C_min', 'prev_Volume_L_mean'], 'order': (1, 0, 0)}",2.2573847742083037,4.841348798850302,-1.8369375121119007,47.49313804938841,40.74074074074074,81.48148148148148,27
"ARIMA(1,0,1) 생장만 (LOO)","{'order': (1, 0, 1)}",2.5774908319264176,3.268066389461385,-0.2927030250932947,63.33349809683063,29.629629629629626,44.44444444444444,27
