model,MAE_env,MAE_env_canopy,MAE_improvement_g,R2_env,R2_env_canopy,R2_improvement
Ridge,1.639018952411597,3.4436583318428338,-1.8046393794312368,0.2517300361651872,-5.596207362995769,-5.847937399160957
RandomForest,1.5160680905217763,1.3912436836519362,0.12482440686984009,0.15230461044862686,0.2940072673661136,0.14170265691748674
GradientBoosting,1.6578973266145962,1.2194358831833676,0.4384614434312286,0.08423379672535225,0.5450532111815332,0.4608194144561809
